Timestamp,miners-revenue
2020-01-09 23:00:00,15541380.5657432
2020-01-10 23:00:00,16893865.3907386
2020-01-11 23:00:00,15625350.6674988
2020-01-12 23:00:00,14633330.0813923
2020-01-13 23:00:00,15748081.3734265
2020-01-14 23:00:00,16792710.0748656
2020-01-15 23:00:00,17478168.636505
2020-01-16 23:00:00,17783148.0200682
2020-01-17 23:00:00,14834325.0760483
2020-01-18 23:00:00,16961771.1248425
2020-01-19 23:00:00,16034934.2929324
2020-01-20 23:00:00,16708344.241405
2020-01-21 23:00:00,17310387.5912493
2020-01-22 23:00:00,17169132.3178694
2020-01-23 23:00:00,16478219.0489395
2020-01-24 23:00:00,17146239.26569
2020-01-25 23:00:00,15373871.852787
2020-01-26 23:00:00,14226813.8664812
2020-01-27 23:00:00,16242549.0084109
2020-01-28 23:00:00,18887556.2843298
2020-01-29 23:00:00,18922276.3946485
2020-01-30 23:00:00,17040641.8640666
2020-01-31 23:00:00,17858163.3183205
2020-02-01 23:00:00,16944231.593907
2020-02-02 23:00:00,17467129.7546416
2020-02-03 23:00:00,15415016.36326
2020-02-04 23:00:00,19130672.8183499
2020-02-05 23:00:00,17105098.5956135
2020-02-06 23:00:00,17296713.6149433
2020-02-07 23:00:00,17511947.9489374
2020-02-08 23:00:00,19747647.2563808
2020-02-09 23:00:00,15671545.1161284
2020-02-10 23:00:00,19051941.2100874
2020-02-11 23:00:00,18763378.4859796
2020-02-12 23:00:00,18474198.4419548
2020-02-13 23:00:00,17892676.3265022
2020-02-14 23:00:00,18294966.9414571
2020-02-15 23:00:00,17801511.08347
2020-02-16 23:00:00,19823862.1987849
2020-02-17 23:00:00,19007001.5279857
2020-02-18 23:00:00,18406770.3412521
2020-02-19 23:00:00,15368284.8740307
2020-02-20 23:00:00,18886942.6943443
2020-02-21 23:00:00,18051502.9659413
2020-02-22 23:00:00,17684305.8236258
2020-02-23 23:00:00,17377835.2213733
2020-02-24 23:00:00,17822599.4317669
2020-02-25 23:00:00,15629013.6810431
2020-02-26 23:00:00,16401715.3340557
2020-02-27 23:00:00,17412081.0567263
2020-02-28 23:00:00,15277906.3501235
2020-02-29 23:00:00,19058740.702697
2020-03-01 23:00:00,16697791.7547892
2020-03-02 23:00:00,17037037.2303219
2020-03-03 23:00:00,18948989.9695022
2020-03-04 23:00:00,18562608.9764852
2020-03-05 23:00:00,18084440.7557398
2020-03-06 23:00:00,18200369.580492
2020-03-07 23:00:00,17385259.2570763
2020-03-09 00:00:00,15003719.0413104
2020-03-10 00:00:00,13309094.5286119
2020-03-11 00:00:00,11906436.352487
2020-03-12 00:00:00,13544827.8769228
2020-03-13 00:00:00,8634486.98165652
2020-03-14 00:00:00,8986521.2261113
2020-03-15 00:00:00,8103100.66412195
2020-03-16 00:00:00,7889846.94060429
2020-03-17 00:00:00,8477516.57450476
2020-03-18 00:00:00,6941254.71929466
2020-03-19 00:00:00,7981376.24196957
2020-03-20 00:00:00,9446456.6579134
2020-03-21 00:00:00,9873966.12841585
2020-03-22 00:00:00,9996191.20726949
2020-03-23 00:00:00,8912695.38775182
2020-03-24 00:00:00,11290318.1081887
2020-03-25 00:00:00,8111093.56505244
2020-03-26 00:00:00,13691118.2118555
2020-03-27 00:00:00,13411241.2554212
2020-03-28 00:00:00,10989618.9333618
2020-03-29 00:00:00,11822813.2911171
2020-03-30 00:00:00,11637863.3799015
2020-03-31 00:00:00,13165642.8313156
2020-04-01 00:00:00,12386579.1867395
2020-04-02 00:00:00,13018917.4093132
2020-04-03 00:00:00,11436511.5514712
