Timestamp,n-transactions-excluding-popular
2020-09-10 00:00:00,341825
2020-09-11 00:00:00,304149
2020-09-12 00:00:00,296767
2020-09-13 00:00:00,251774
2020-09-14 00:00:00,349764
2020-09-15 00:00:00,328814
2020-09-16 00:00:00,338696
2020-09-17 00:00:00,344820
2020-09-18 00:00:00,321101
2020-09-19 00:00:00,293197
2020-09-20 00:00:00,255602
2020-09-21 00:00:00,293648
2020-09-22 00:00:00,309101
2020-09-23 00:00:00,345970
2020-09-24 00:00:00,312797
2020-09-25 00:00:00,349404
2020-09-26 00:00:00,273219
2020-09-27 00:00:00,256059
2020-09-28 00:00:00,291464
2020-09-29 00:00:00,343722
2020-09-30 00:00:00,347857
2020-10-01 00:00:00,301807
2020-10-02 00:00:00,312259
2020-10-03 00:00:00,308298
2020-10-04 00:00:00,265583
2020-10-05 00:00:00,291945
2020-10-06 00:00:00,314751
2020-10-07 00:00:00,367060
2020-10-08 00:00:00,327068
2020-10-09 00:00:00,335917
2020-10-10 00:00:00,295570
2020-10-11 00:00:00,253485
2020-10-12 00:00:00,310812
2020-10-13 00:00:00,329911
2020-10-14 00:00:00,310908
2020-10-15 00:00:00,337546
2020-10-16 00:00:00,321495
2020-10-17 00:00:00,272613
2020-10-18 00:00:00,229188
2020-10-19 00:00:00,300903
2020-10-20 00:00:00,327487
2020-10-21 00:00:00,307518
2020-10-22 00:00:00,335567
2020-10-23 00:00:00,320764
2020-10-24 00:00:00,304131
2020-10-25 00:00:00,239916
2020-10-26 00:00:00,249473
2020-10-27 00:00:00,249328
2020-10-28 00:00:00,258331
2020-10-29 00:00:00,272810
2020-10-30 00:00:00,265605
2020-10-31 00:00:00,273139
2020-11-01 00:00:00,273198
2020-11-01 23:00:00,221352
2020-11-02 23:00:00,328189
2020-11-03 23:00:00,317320
2020-11-04 23:00:00,315031
2020-11-05 23:00:00,336852
2020-11-06 23:00:00,267922
2020-11-07 23:00:00,240422
2020-11-08 23:00:00,323412
2020-11-09 23:00:00,300295
2020-11-10 23:00:00,318690
2020-11-11 23:00:00,321579
2020-11-12 23:00:00,296824
2020-11-13 23:00:00,271239
2020-11-14 23:00:00,250116
2020-11-15 23:00:00,308627
2020-11-16 23:00:00,344749
2020-11-17 23:00:00,358439
2020-11-18 23:00:00,307840
2020-11-19 23:00:00,344738
2020-11-20 23:00:00,308254
2020-11-21 23:00:00,268226
2020-11-22 23:00:00,294575
2020-11-23 23:00:00,329673
2020-11-24 23:00:00,358372
2020-11-25 23:00:00,320210
2020-11-26 23:00:00,318644
2020-11-27 23:00:00,290882
2020-11-28 23:00:00,261000
2020-11-29 23:00:00,253811
2020-11-30 23:00:00,374601
2020-12-01 23:00:00,323679
2020-12-02 23:00:00,343417
2020-12-03 23:00:00,315514
2020-12-04 23:00:00,279786
2020-12-05 23:00:00,256105
2020-12-06 23:00:00,297736
2020-12-07 23:00:00,327753
2020-12-08 23:00:00,317480
2020-12-09 23:00:00,310120
2020-12-10 23:00:00,301645
2020-12-11 23:00:00,292647
2020-12-12 23:00:00,273482
2020-12-13 23:00:00,311293
2020-12-14 23:00:00,317256
2020-12-15 23:00:00,311825
2020-12-16 23:00:00,306106
2020-12-17 23:00:00,371342
2020-12-18 23:00:00,340276
2020-12-19 23:00:00,279250
2020-12-20 23:00:00,267276
2020-12-21 23:00:00,321256
2020-12-22 23:00:00,333346
2020-12-23 23:00:00,266122
2020-12-24 23:00:00,300533
2020-12-25 23:00:00,271125
2020-12-26 23:00:00,305121
2020-12-27 23:00:00,305483
2020-12-28 23:00:00,332853
2020-12-29 23:00:00,334365
2020-12-30 23:00:00,341206
2020-12-31 23:00:00,255086
2021-01-01 23:00:00,293409
2021-01-02 23:00:00,355123
2021-01-03 23:00:00,368932
2021-01-04 23:00:00,349895
2021-01-05 23:00:00,393193
2021-01-06 23:00:00,397456
2021-01-07 23:00:00,354565
2021-01-08 23:00:00,318018
2021-01-09 23:00:00,327988
2021-01-10 23:00:00,329587
2021-01-11 23:00:00,332587
2021-01-12 23:00:00,315524
2021-01-13 23:00:00,334885
2021-01-14 23:00:00,340326
2021-01-15 23:00:00,304753
2021-01-16 23:00:00,268623
2021-01-17 23:00:00,310233
2021-01-18 23:00:00,321446
2021-01-19 23:00:00,310901
2021-01-20 23:00:00,287117
2021-01-21 23:00:00,322598
2021-01-22 23:00:00,302142
2021-01-23 23:00:00,251105
2021-01-24 23:00:00,305567
2021-01-25 23:00:00,332912
2021-01-26 23:00:00,320074
2021-01-27 23:00:00,320765
2021-01-28 23:00:00,337132
2021-01-29 23:00:00,309300
2021-01-30 23:00:00,287575
2021-01-31 23:00:00,277113
2021-02-01 23:00:00,360694
2021-02-02 23:00:00,340465
2021-02-03 23:00:00,363365
2021-02-04 23:00:00,356357
2021-02-05 23:00:00,329904
2021-02-06 23:00:00,282370
2021-02-07 23:00:00,330967
2021-02-08 23:00:00,355425
2021-02-09 23:00:00,336340
2021-02-10 23:00:00,301258
2021-02-11 23:00:00,339751
2021-02-12 23:00:00,332944
2021-02-13 23:00:00,294651
2021-02-14 23:00:00,304662
2021-02-15 23:00:00,292705
2021-02-16 23:00:00,313722
2021-02-17 23:00:00,313073
2021-02-18 23:00:00,336543
2021-02-19 23:00:00,315342
2021-02-20 23:00:00,267378
2021-02-21 23:00:00,281144
2021-02-22 23:00:00,283260
2021-02-23 23:00:00,353431
2021-02-24 23:00:00,321718
2021-02-25 23:00:00,302463
2021-02-26 23:00:00,316462
2021-02-27 23:00:00,250582
2021-02-28 23:00:00,276425
2021-03-01 23:00:00,334067
2021-03-02 23:00:00,329200
2021-03-03 23:00:00,285778
2021-03-04 23:00:00,313922
2021-03-05 23:00:00,284644
2021-03-06 23:00:00,257253
2021-03-07 23:00:00,288009
2021-03-08 23:00:00,295471
2021-03-09 23:00:00,340473
2021-03-10 23:00:00,287084
2021-03-11 23:00:00,316520
2021-03-12 23:00:00,273024
2021-03-13 23:00:00,303740
2021-03-15 00:00:00,287520
2021-03-16 00:00:00,314847
2021-03-17 00:00:00,291717
2021-03-18 00:00:00,326889
2021-03-19 00:00:00,311444
2021-03-20 00:00:00,282897
2021-03-21 00:00:00,231254
2021-03-22 00:00:00,292810
2021-03-23 00:00:00,310712
2021-03-24 00:00:00,300724
2021-03-25 00:00:00,314233
2021-03-26 00:00:00,289918
2021-03-27 00:00:00,284638
2021-03-28 00:00:00,244003
2021-03-29 00:00:00,299609
2021-03-30 00:00:00,316536
2021-03-31 00:00:00,328384
2021-04-01 00:00:00,308161
2021-04-02 00:00:00,301445
2021-04-03 00:00:00,277132
2021-04-04 00:00:00,242207
2021-04-05 00:00:00,284512
2021-04-06 00:00:00,305746
2021-04-07 00:00:00,316227
2021-04-08 00:00:00,274868
2021-04-09 00:00:00,319653
2021-04-10 00:00:00,293751
2021-04-11 00:00:00,249489
2021-04-12 00:00:00,286658
2021-04-13 00:00:00,305895
2021-04-14 00:00:00,293300
2021-04-15 00:00:00,354682
2021-04-16 00:00:00,216336
2021-04-17 00:00:00,191272
2021-04-18 00:00:00,267783
2021-04-19 00:00:00,203637
2021-04-20 00:00:00,275973
2021-04-21 00:00:00,222490
2021-04-22 00:00:00,269592
2021-04-23 00:00:00,290057
2021-04-24 00:00:00,285889
2021-04-25 00:00:00,236534
2021-04-26 00:00:00,236860
2021-04-27 00:00:00,293396
2021-04-28 00:00:00,271992
2021-04-29 00:00:00,255439
2021-04-30 00:00:00,286158
2021-05-01 00:00:00,259751
2021-05-02 00:00:00,231999
2021-05-03 00:00:00,283209
2021-05-04 00:00:00,296672
2021-05-05 00:00:00,305591
2021-05-06 00:00:00,306884
2021-05-07 00:00:00,303225
2021-05-08 00:00:00,271447
2021-05-09 00:00:00,245062
