Timestamp,n-transactions
2020-09-02 00:00:00,317449
2020-09-03 00:00:00,310922
2020-09-04 00:00:00,298286
2020-09-05 00:00:00,325523
2020-09-06 00:00:00,262820
2020-09-07 00:00:00,327662
2020-09-08 00:00:00,332668
2020-09-09 00:00:00,314864
2020-09-10 00:00:00,345981
2020-09-11 00:00:00,308323
2020-09-12 00:00:00,300152
2020-09-13 00:00:00,255110
2020-09-14 00:00:00,354020
2020-09-15 00:00:00,332957
2020-09-16 00:00:00,342609
2020-09-17 00:00:00,348581
2020-09-18 00:00:00,325157
2020-09-19 00:00:00,296357
2020-09-20 00:00:00,259095
2020-09-21 00:00:00,297605
2020-09-22 00:00:00,312989
2020-09-23 00:00:00,349938
2020-09-24 00:00:00,316552
2020-09-25 00:00:00,353070
2020-09-26 00:00:00,276162
2020-09-27 00:00:00,259382
2020-09-28 00:00:00,295476
2020-09-29 00:00:00,347696
2020-09-30 00:00:00,351417
2020-10-01 00:00:00,304757
2020-10-02 00:00:00,315443
2020-10-03 00:00:00,310855
2020-10-04 00:00:00,268019
2020-10-05 00:00:00,294986
2020-10-06 00:00:00,317922
2020-10-07 00:00:00,370554
2020-10-08 00:00:00,330227
2020-10-09 00:00:00,339343
2020-10-10 00:00:00,298486
2020-10-11 00:00:00,256096
2020-10-12 00:00:00,314174
2020-10-13 00:00:00,333215
2020-10-14 00:00:00,314541
2020-10-15 00:00:00,340993
2020-10-16 00:00:00,324647
2020-10-17 00:00:00,275069
2020-10-18 00:00:00,231557
2020-10-19 00:00:00,303929
2020-10-20 00:00:00,330563
2020-10-21 00:00:00,311292
2020-10-22 00:00:00,339087
2020-10-23 00:00:00,323869
2020-10-24 00:00:00,306774
2020-10-25 00:00:00,242273
2020-10-26 00:00:00,252494
2020-10-27 00:00:00,251938
2020-10-28 00:00:00,261340
2020-10-29 00:00:00,276070
2020-10-30 00:00:00,268364
2020-10-31 00:00:00,275796
2020-11-01 00:00:00,276280
2020-11-01 23:00:00,224609
2020-11-02 23:00:00,331673
2020-11-03 23:00:00,320697
2020-11-04 23:00:00,318668
2020-11-05 23:00:00,340351
2020-11-06 23:00:00,270901
2020-11-07 23:00:00,243047
2020-11-08 23:00:00,326383
2020-11-09 23:00:00,303270
2020-11-10 23:00:00,322277
2020-11-11 23:00:00,324855
2020-11-12 23:00:00,300040
2020-11-13 23:00:00,273511
2020-11-14 23:00:00,252715
2020-11-15 23:00:00,311477
2020-11-16 23:00:00,347772
2020-11-17 23:00:00,362007
2020-11-18 23:00:00,311061
2020-11-19 23:00:00,348026
2020-11-20 23:00:00,311189
2020-11-21 23:00:00,271125
2020-11-22 23:00:00,297840
2020-11-23 23:00:00,333293
2020-11-24 23:00:00,361990
2020-11-25 23:00:00,323975
2020-11-26 23:00:00,322445
2020-11-27 23:00:00,293949
2020-11-28 23:00:00,263573
2020-11-29 23:00:00,256551
2020-11-30 23:00:00,378068
2020-12-01 23:00:00,327019
2020-12-02 23:00:00,346921
2020-12-03 23:00:00,318894
2020-12-04 23:00:00,282599
2020-12-05 23:00:00,258624
2020-12-06 23:00:00,300906
2020-12-07 23:00:00,330970
2020-12-08 23:00:00,321079
2020-12-09 23:00:00,313649
2020-12-10 23:00:00,304735
2020-12-11 23:00:00,295410
2020-12-12 23:00:00,276160
2020-12-13 23:00:00,314350
2020-12-14 23:00:00,320440
2020-12-15 23:00:00,315217
2020-12-16 23:00:00,309481
2020-12-17 23:00:00,375549
2020-12-18 23:00:00,343536
2020-12-19 23:00:00,282043
2020-12-20 23:00:00,269834
2020-12-21 23:00:00,324163
2020-12-22 23:00:00,338463
2020-12-23 23:00:00,269559
2020-12-24 23:00:00,303901
2020-12-25 23:00:00,273954
2020-12-26 23:00:00,309005
2020-12-27 23:00:00,308983
2020-12-28 23:00:00,336311
2020-12-29 23:00:00,338258
2020-12-30 23:00:00,344918
2020-12-31 23:00:00,258080
2021-01-01 23:00:00,297111
2021-01-02 23:00:00,359116
2021-01-03 23:00:00,373734
2021-01-04 23:00:00,354091
2021-01-05 23:00:00,397384
2021-01-06 23:00:00,401744
2021-01-07 23:00:00,358526
2021-01-08 23:00:00,321389
2021-01-09 23:00:00,331865
2021-01-10 23:00:00,333958
2021-01-11 23:00:00,336627
2021-01-12 23:00:00,319167
2021-01-13 23:00:00,338809
2021-01-14 23:00:00,344002
2021-01-15 23:00:00,308461
2021-01-16 23:00:00,271874
2021-01-17 23:00:00,313816
2021-01-18 23:00:00,325083
2021-01-19 23:00:00,314809
2021-01-20 23:00:00,290754
2021-01-21 23:00:00,326935
2021-01-22 23:00:00,305209
2021-01-23 23:00:00,253971
2021-01-24 23:00:00,309102
2021-01-25 23:00:00,336935
2021-01-26 23:00:00,323553
2021-01-27 23:00:00,325146
2021-01-28 23:00:00,341036
2021-01-29 23:00:00,312313
2021-01-30 23:00:00,290753
2021-01-31 23:00:00,280863
2021-02-01 23:00:00,364551
2021-02-02 23:00:00,344425
2021-02-03 23:00:00,367788
2021-02-04 23:00:00,360541
2021-02-05 23:00:00,333886
2021-02-06 23:00:00,286364
2021-02-07 23:00:00,335223
2021-02-08 23:00:00,360137
2021-02-09 23:00:00,340758
2021-02-10 23:00:00,304739
2021-02-11 23:00:00,343306
2021-02-12 23:00:00,336624
2021-02-13 23:00:00,298254
2021-02-14 23:00:00,308496
2021-02-15 23:00:00,296388
2021-02-16 23:00:00,317666
2021-02-17 23:00:00,316952
2021-02-18 23:00:00,341586
2021-02-19 23:00:00,320475
2021-02-20 23:00:00,271645
2021-02-21 23:00:00,285383
2021-02-22 23:00:00,287884
2021-02-23 23:00:00,358092
2021-02-24 23:00:00,326116
2021-02-25 23:00:00,306416
2021-02-26 23:00:00,320784
2021-02-27 23:00:00,254316
2021-02-28 23:00:00,280485
2021-03-01 23:00:00,338150
2021-03-02 23:00:00,333402
2021-03-03 23:00:00,289631
2021-03-04 23:00:00,317780
2021-03-05 23:00:00,287963
2021-03-06 23:00:00,260739
2021-03-07 23:00:00,291955
2021-03-08 23:00:00,299682
2021-03-09 23:00:00,344688
2021-03-10 23:00:00,291245
2021-03-11 23:00:00,320744
2021-03-12 23:00:00,277072
2021-03-13 23:00:00,308050
2021-03-15 00:00:00,292231
2021-03-16 00:00:00,319493
2021-03-17 00:00:00,296119
2021-03-18 00:00:00,331718
2021-03-19 00:00:00,316180
2021-03-20 00:00:00,286948
2021-03-21 00:00:00,234936
2021-03-22 00:00:00,297410
2021-03-23 00:00:00,314234
2021-03-24 00:00:00,305093
2021-03-25 00:00:00,318562
2021-03-26 00:00:00,293610
2021-03-27 00:00:00,288259
2021-03-28 00:00:00,248605
2021-03-29 00:00:00,303305
2021-03-30 00:00:00,321090
2021-03-31 00:00:00,332749
2021-04-01 00:00:00,311939
2021-04-02 00:00:00,305788
2021-04-03 00:00:00,281717
2021-04-04 00:00:00,246007
2021-04-05 00:00:00,289046
2021-04-06 00:00:00,309565
2021-04-07 00:00:00,321319
2021-04-08 00:00:00,278534
2021-04-09 00:00:00,324720
2021-04-10 00:00:00,299086
2021-04-11 00:00:00,253449
2021-04-12 00:00:00,291369
2021-04-13 00:00:00,310213
2021-04-14 00:00:00,297494
2021-04-15 00:00:00,359440
2021-04-16 00:00:00,219704
2021-04-17 00:00:00,194580
2021-04-18 00:00:00,274735
2021-04-19 00:00:00,208413
2021-04-20 00:00:00,279977
2021-04-21 00:00:00,226021
2021-04-22 00:00:00,274610
2021-04-23 00:00:00,295731
2021-04-24 00:00:00,290690
2021-04-25 00:00:00,241041
2021-04-26 00:00:00,240687
2021-04-27 00:00:00,298109
2021-04-28 00:00:00,277126
2021-04-29 00:00:00,259465
2021-04-30 00:00:00,289389
2021-05-01 00:00:00,262991
2021-05-02 00:00:00,235214
2021-05-03 00:00:00,287007
2021-05-04 00:00:00,300824
2021-05-05 00:00:00,309774
2021-05-06 00:00:00,311380
