,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy volume,Taker buy quote asset volume,Ignore
478,2020-12-29 00:00:00+00:00,27101.45,27441.73,25913.01,27402.83,260759.449,2020-12-29 23:59:59.999000+00:00,6956813209.79086,1833178,126931.719,3387490332.21496,0
479,2020-12-30 00:00:00+00:00,27402.83,29063.72,27401.00,28906.99,374737.655,2020-12-30 23:59:59.999000+00:00,10558400366.54597,2363568,185801.158,5237447909.15044,0
480,2020-12-31 00:00:00+00:00,28906.99,29376.70,27848.00,28951.68,313648.835,2020-12-31 23:59:59.999000+00:00,9030623930.44815,2151517,148980.530,4291721563.30506,0
481,2021-01-01 00:00:00+00:00,28948.19,29668.86,28627.12,29337.16,210716.398,2021-01-01 23:59:59.999000+00:00,6157505024.08511,1511793,101247.902,2960175587.62208,0
482,2021-01-02 00:00:00+00:00,29337.15,33480.00,28958.24,32199.91,545541.080,2021-01-02 23:59:59.999000+00:00,17122938614.70610,3514545,273388.463,8578964529.70894,0
483,2021-01-03 00:00:00+00:00,32198.41,34832.25,32000.02,33054.53,487486.989,2021-01-03 23:59:59.999000+00:00,16389111411.52760,3325307,238761.657,8029365512.72767,0
484,2021-01-04 00:00:00+00:00,33053.93,33653.56,27800.00,32031.07,506128.023,2021-01-04 23:59:59.999000+00:00,15879195836.25302,3470951,242947.199,7626162910.40660,0
485,2021-01-05 00:00:00+00:00,32029.55,34500.00,29900.00,33999.52,433720.833,2021-01-05 23:59:59.999000+00:00,13959353458.55198,3077140,214417.082,6904989558.83828,0
486,2021-01-06 00:00:00+00:00,33999.51,37037.51,33356.46,36823.68,444019.830,2021-01-06 23:59:59.999000+00:00,15515216052.16546,3343780,221236.888,7735680984.28917,0
487,2021-01-07 00:00:00+00:00,36825.77,40565.62,36337.36,39498.92,520147.908,2021-01-07 23:59:59.999000+00:00,19955559504.79166,3936708,257944.968,9900486395.62111,0
488,2021-01-08 00:00:00+00:00,39498.32,42125.51,36539.77,40637.23,518080.826,2021-01-08 23:59:59.999000+00:00,20667265854.49486,4247011,254344.167,10152865266.04328,0
489,2021-01-09 00:00:00+00:00,40638.91,41539.88,38733.28,40136.04,260882.805,2021-01-09 23:59:59.999000+00:00,10520523013.40685,2489926,126105.315,5086880791.19798,0
490,2021-01-10 00:00:00+00:00,40136.05,41412.12,35268.00,38221.67,436759.048,2021-01-10 23:59:59.999000+00:00,17027093434.55105,3699058,211717.223,8261995935.20996,0
491,2021-01-11 00:00:00+00:00,38200.01,38322.18,30448.00,35408.46,906275.651,2021-01-11 23:59:59.999000+00:00,30742156595.35393,7483656,443696.590,15052872048.13838,0
492,2021-01-12 00:00:00+00:00,35406.92,36693.44,32600.00,34056.90,449065.693,2021-01-12 23:59:59.999000+00:00,12627307848.47400,4292644,222279.828,6241571144.47870,0
493,2021-01-13 00:00:00+00:00,34065.53,37880.00,32420.00,37421.07,398188.088,2021-01-13 23:59:59.999000+00:00,13803091615.05157,3801367,199377.684,6916994865.68764,0
494,2021-01-14 00:00:00+00:00,37416.34,40189.39,36764.33,39163.31,353142.386,2021-01-14 23:59:59.999000+00:00,13663753723.40309,3501513,175843.746,6805766674.20038,0
495,2021-01-15 00:00:00+00:00,39163.31,39790.00,34478.00,36755.24,437610.113,2021-01-15 23:59:59.999000+00:00,16148530126.35195,4212641,215685.402,7958729167.12342,0
496,2021-01-16 00:00:00+00:00,36755.25,38000.00,35366.00,36025.66,301102.477,2021-01-16 23:59:59.999000+00:00,11103654689.80840,3011057,146509.381,5406319579.73528,0
497,2021-01-17 00:00:00+00:00,36025.65,36898.00,33863.50,35869.83,287686.129,2021-01-17 23:59:59.999000+00:00,10206002445.01776,2832554,142749.218,5067322177.93342,0
498,2021-01-18 00:00:00+00:00,35875.72,37547.94,34808.47,36686.86,253386.703,2021-01-18 23:59:59.999000+00:00,9167208119.70183,2509593,126929.278,4593293225.33017,0
499,2021-01-19 00:00:00+00:00,36690.00,37961.00,35850.00,35891.03,257889.419,2021-01-19 23:59:59.999000+00:00,9530202433.37249,2463060,127747.175,4722978204.94744,0
500,2021-01-20 00:00:00+00:00,35891.74,36461.44,33403.00,35500.00,329192.419,2021-01-20 23:59:59.999000+00:00,11521126165.52288,3069181,160202.354,5609941255.60820,0
