,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
519,2021-09-01 12:39:00+00:00,47779.58000000,47799.99000000,47775.02000000,47775.05000000,43.38467000,2021-09-01 12:39:59.999000+00:00,2073269.69457180,729,32.91951000,1573176.99483540,0
520,2021-09-01 12:40:00+00:00,47775.04000000,47782.63000000,47741.62000000,47769.34000000,25.98559000,2021-09-01 12:40:59.999000+00:00,1240997.22059830,612,10.38035000,495760.28394530,0
521,2021-09-01 12:41:00+00:00,47769.35000000,47770.72000000,47731.06000000,47733.45000000,30.72065000,2021-09-01 12:41:59.999000+00:00,1466958.90345570,721,12.32151000,588391.01119570,0
522,2021-09-01 12:42:00+00:00,47733.46000000,47749.01000000,47725.00000000,47747.49000000,14.98829000,2021-09-01 12:42:59.999000+00:00,715471.26170280,528,9.32655000,445214.09634350,0
523,2021-09-01 12:43:00+00:00,47745.45000000,47745.45000000,47721.48000000,47735.07000000,27.73277000,2021-09-01 12:43:59.999000+00:00,1323711.21961010,597,17.16984000,819494.72673840,0
524,2021-09-01 12:44:00+00:00,47735.06000000,47736.24000000,47700.00000000,47709.68000000,29.09712000,2021-09-01 12:44:59.999000+00:00,1388383.34633070,772,9.33985000,445651.88838700,0
525,2021-09-01 12:45:00+00:00,47710.62000000,47735.62000000,47705.69000000,47713.17000000,22.88587000,2021-09-01 12:45:59.999000+00:00,1092178.14342600,651,7.73318000,369051.74621030,0
526,2021-09-01 12:46:00+00:00,47713.18000000,47737.72000000,47713.18000000,47716.09000000,29.39825000,2021-09-01 12:46:59.999000+00:00,1403066.78966510,610,17.80796000,849892.54178600,0
527,2021-09-01 12:47:00+00:00,47716.09000000,47733.52000000,47716.08000000,47725.49000000,11.43218000,2021-09-01 12:47:59.999000+00:00,545621.62100760,561,6.87003000,327887.67848600,0
528,2021-09-01 12:48:00+00:00,47725.49000000,47733.08000000,47706.93000000,47716.91000000,15.02661000,2021-09-01 12:48:59.999000+00:00,717088.86835070,545,6.74421000,321833.78312390,0
529,2021-09-01 12:49:00+00:00,47716.90000000,47729.68000000,47700.32000000,47700.32000000,18.39900000,2021-09-01 12:49:59.999000+00:00,877873.37024660,559,8.27822000,394989.39490280,0
530,2021-09-01 12:50:00+00:00,47700.33000000,47718.05000000,47700.00000000,47710.30000000,16.86603000,2021-09-01 12:50:59.999000+00:00,804669.67368710,589,5.49345000,262087.30553380,0
531,2021-09-01 12:51:00+00:00,47712.99000000,47750.00000000,47712.98000000,47749.99000000,25.90334000,2021-09-01 12:51:59.999000+00:00,1236461.94956400,624,18.54845000,885378.41634450,0
532,2021-09-01 12:52:00+00:00,47749.99000000,47761.45000000,47740.00000000,47750.00000000,16.35818000,2021-09-01 12:52:59.999000+00:00,781136.38785930,550,9.93771000,474560.93862650,0
533,2021-09-01 12:53:00+00:00,47743.17000000,47750.00000000,47710.62000000,47719.00000000,13.75492000,2021-09-01 12:53:59.999000+00:00,656467.55388060,540,5.76182000,274962.31051460,0
